State,Direction,Type,Site location,Distance (m),Height (cm),DAT
Arkansas,Downwind,Non-covered,East 3,228.6,78,22
Arkansas,Downwind,Non-covered,East 3,228.6,85,22
Arkansas,Downwind,Non-covered,East 3,228.6,79,22
Arkansas,Downwind,Non-covered,East 3,228.6,81,22
Arkansas,Downwind,Non-covered,East 3,228.6,89,22
Arkansas,Downwind,Non-covered,East 3,228.6,80,22
Arkansas,Downwind,Non-covered,East 3,228.6,79,22
Arkansas,Downwind,Non-covered,East 3,228.6,85,22
Arkansas,Downwind,Non-covered,East 3,243.8,70,22
Arkansas,Downwind,Non-covered,East 3,243.8,80,22
Arkansas,Downwind,Non-covered,East 3,243.8,89,22
Arkansas,Downwind,Non-covered,East 3,243.8,90,22
Arkansas,Downwind,Non-covered,East 3,243.8,84,22
Arkansas,Downwind,Non-covered,East 3,243.8,89,22
Arkansas,Downwind,Non-covered,East 3,243.8,88,22
Arkansas,Downwind,Non-covered,East 3,243.8,88,22
Arkansas,Downwind,Non-covered,East 3,243.8,87,22
Arkansas,Downwind,Non-covered,East 3,243.8,79,22
Arkansas,Downwind,Non-covered,East 3,259.1,73,22
Arkansas,Downwind,Non-covered,East 3,259.1,74,22
Arkansas,Downwind,Non-covered,East 3,259.1,74,22
Arkansas,Downwind,Non-covered,East 3,259.1,79,22
Arkansas,Downwind,Non-covered,East 3,259.1,84,22
Arkansas,Downwind,Non-covered,East 3,259.1,83,22
Arkansas,Downwind,Non-covered,East 3,259.1,86,22
Arkansas,Downwind,Non-covered,East 3,259.1,84,22
Arkansas,Downwind,Non-covered,East 3,259.1,96,22
Arkansas,Downwind,Non-covered,East 3,259.1,86,22
Arkansas,Upwind,Non-covered,West 1,15.2,72,22
Arkansas,Upwind,Non-covered,West 1,15.2,84,22
Arkansas,Upwind,Non-covered,West 1,15.2,90,22
Arkansas,Upwind,Non-covered,West 1,15.2,87,22
Arkansas,Upwind,Non-covered,West 1,15.2,73,22
Arkansas,Upwind,Non-covered,West 1,15.2,78,22
Arkansas,Upwind,Non-covered,West 1,15.2,87,22
Arkansas,Upwind,Non-covered,West 1,15.2,90,22
Arkansas,Upwind,Non-covered,West 1,15.2,84,22
Arkansas,Upwind,Non-covered,West 1,15.2,87,22
Arkansas,Upwind,Non-covered,West 1,30.5,88,22
Arkansas,Upwind,Non-covered,West 1,30.5,77,22
Arkansas,Upwind,Non-covered,West 1,30.5,83,22
Arkansas,Upwind,Non-covered,West 1,30.5,77,22
Arkansas,Upwind,Non-covered,West 1,30.5,67,22
Arkansas,Upwind,Non-covered,West 1,30.5,71,22
Arkansas,Upwind,Non-covered,West 1,30.5,81,22
Arkansas,Upwind,Non-covered,West 1,30.5,79,22
Arkansas,Upwind,Non-covered,West 1,30.5,86,22
Arkansas,Upwind,Non-covered,West 1,30.5,87,22
Arkansas,Upwind,Non-covered,West 1,45.7,81,22
Arkansas,Upwind,Non-covered,West 1,45.7,93,22
Arkansas,Upwind,Non-covered,West 1,45.7,86,22
Arkansas,Upwind,Non-covered,West 1,45.7,85,22
Arkansas,Upwind,Non-covered,West 1,45.7,76,22
Arkansas,Upwind,Non-covered,West 1,45.7,79,22
Arkansas,Upwind,Non-covered,West 1,45.7,81,22
Arkansas,Upwind,Non-covered,West 1,45.7,86,22
Arkansas,Upwind,Non-covered,West 1,45.7,87,22
Arkansas,Upwind,Non-covered,West 1,45.7,88,22
Arkansas,Upwind,Non-covered,West 1,61,91,22
Arkansas,Upwind,Non-covered,West 1,61,92,22
Arkansas,Upwind,Non-covered,West 1,61,88,22
Arkansas,Upwind,Non-covered,West 1,61,84,22
Arkansas,Upwind,Non-covered,West 1,61,82,22
Arkansas,Upwind,Non-covered,West 1,61,80,22
Arkansas,Upwind,Non-covered,West 1,61,87,22
Arkansas,Upwind,Non-covered,West 1,61,90,22
Arkansas,Upwind,Non-covered,West 1,61,94,22
Arkansas,Upwind,Non-covered,West 1,61,85,22
Arkansas,Upwind,Non-covered,West 2,15.2,88,22
Arkansas,Upwind,Non-covered,West 2,15.2,90,22
Arkansas,Upwind,Non-covered,West 2,15.2,86,22
Arkansas,Upwind,Non-covered,West 2,15.2,85,22
Arkansas,Upwind,Non-covered,West 2,15.2,84,22
Arkansas,Upwind,Non-covered,West 2,15.2,90,22
Arkansas,Upwind,Non-covered,West 2,15.2,89,22
Arkansas,Upwind,Non-covered,West 2,15.2,89,22
Arkansas,Upwind,Non-covered,West 2,15.2,91,22
Arkansas,Upwind,Non-covered,West 2,15.2,89,22
Arkansas,Upwind,Non-covered,West 2,30.5,92,22
Arkansas,Upwind,Non-covered,West 2,30.5,95,22
Arkansas,Upwind,Non-covered,West 2,30.5,91,22
Arkansas,Upwind,Non-covered,West 2,30.5,96,22
Arkansas,Upwind,Non-covered,West 2,30.5,88,22
Arkansas,Upwind,Non-covered,West 2,30.5,90,22
Arkansas,Upwind,Non-covered,West 2,30.5,96,22
Arkansas,Upwind,Non-covered,West 2,30.5,93,22
Arkansas,Upwind,Non-covered,West 2,30.5,90,22
Arkansas,Upwind,Non-covered,West 2,30.5,93,22
Arkansas,Upwind,Non-covered,West 2,45.7,66,22
Arkansas,Upwind,Non-covered,West 2,45.7,77,22
Arkansas,Upwind,Non-covered,West 2,45.7,76,22
Arkansas,Upwind,Non-covered,West 2,45.7,76,22
Arkansas,Upwind,Non-covered,West 2,45.7,82,22
Arkansas,Upwind,Non-covered,West 2,45.7,82,22
Arkansas,Upwind,Non-covered,West 2,45.7,86,22
Arkansas,Upwind,Non-covered,West 2,45.7,85,22
Arkansas,Upwind,Non-covered,West 2,45.7,78,22
Arkansas,Upwind,Non-covered,West 2,45.7,89,22
Arkansas,Upwind,Non-covered,West 2,61,80,22
Arkansas,Upwind,Non-covered,West 2,61,85,22
Arkansas,Upwind,Non-covered,West 2,61,89,22
Arkansas,Upwind,Non-covered,West 2,61,99,22
Arkansas,Upwind,Non-covered,West 2,61,86,22
Arkansas,Upwind,Non-covered,West 2,61,98,22
Arkansas,Upwind,Non-covered,West 2,61,97,22
Arkansas,Upwind,Non-covered,West 2,61,91,22
Arkansas,Upwind,Non-covered,West 2,61,83,22
Arkansas,Upwind,Non-covered,West 2,61,92,22
Arkansas,Upwind,Non-covered,West 3,15.2,69,22
Arkansas,Upwind,Non-covered,West 3,15.2,88,22
Arkansas,Upwind,Non-covered,West 3,15.2,78,22
Arkansas,Upwind,Non-covered,West 3,15.2,82,22
Arkansas,Upwind,Non-covered,West 3,15.2,82,22
Arkansas,Upwind,Non-covered,West 3,15.2,83,22
Arkansas,Upwind,Non-covered,West 3,15.2,75,22
Arkansas,Upwind,Non-covered,West 3,15.2,73,22
Arkansas,Upwind,Non-covered,West 3,15.2,74,22
Arkansas,Upwind,Non-covered,West 3,15.2,79,22
Arkansas,Upwind,Non-covered,West 3,30.5,83,22
Arkansas,Upwind,Non-covered,West 3,30.5,91,22
Arkansas,Upwind,Non-covered,West 3,30.5,83,22
Arkansas,Upwind,Non-covered,West 3,30.5,91,22
Arkansas,Upwind,Non-covered,West 3,30.5,89,22
Arkansas,Upwind,Non-covered,West 3,30.5,76,22
Arkansas,Upwind,Non-covered,West 3,30.5,77,22
Arkansas,Upwind,Non-covered,West 3,30.5,74,22
Arkansas,Upwind,Non-covered,West 3,30.5,87,22
Arkansas,Upwind,Non-covered,West 3,30.5,91,22
Arkansas,Upwind,Non-covered,West 3,45.7,73,22
Arkansas,Upwind,Non-covered,West 3,45.7,79,22
Arkansas,Upwind,Non-covered,West 3,45.7,83,22
Arkansas,Upwind,Non-covered,West 3,45.7,83,22
Arkansas,Upwind,Non-covered,West 3,45.7,70,22
Arkansas,Upwind,Non-covered,West 3,45.7,77,22
Arkansas,Upwind,Non-covered,West 3,45.7,74,22
Arkansas,Upwind,Non-covered,West 3,45.7,69,22
Arkansas,Upwind,Non-covered,West 3,45.7,78,22
Arkansas,Upwind,Non-covered,West 3,45.7,81,22
Arkansas,Upwind,Non-covered,West 3,61,70,22
Arkansas,Upwind,Non-covered,West 3,61,70,22
Arkansas,Upwind,Non-covered,West 3,61,76,22
Arkansas,Upwind,Non-covered,West 3,61,74,22
Arkansas,Upwind,Non-covered,West 3,61,73,22
Arkansas,Upwind,Non-covered,West 3,61,80,22
Arkansas,Upwind,Non-covered,West 3,61,80,22
Arkansas,Upwind,Non-covered,West 3,61,83,22
Arkansas,Upwind,Non-covered,West 3,61,84,22
Arkansas,Upwind,Non-covered,West 3,61,81,22
Arkansas,Upwind,Non-covered,West 3,76.2,77,22
Arkansas,Upwind,Non-covered,West 3,76.2,76,22
Arkansas,Upwind,Non-covered,West 3,76.2,85,22
Arkansas,Upwind,Non-covered,West 3,76.2,65,22
Arkansas,Upwind,Non-covered,West 3,76.2,73,22
Arkansas,Upwind,Non-covered,West 3,76.2,87,22
Arkansas,Upwind,Non-covered,West 3,76.2,74,22
Arkansas,Upwind,Non-covered,West 3,76.2,80,22
Arkansas,Upwind,Non-covered,West 3,76.2,74,22
Arkansas,Upwind,Non-covered,West 3,76.2,77,22
Indiana,Downwind,Covered,North,1.5,49,21
Indiana,Downwind,Covered,North,1.5,51,21
Indiana,Downwind,Covered,North,1.5,53,21
Indiana,Downwind,Covered,North,1.5,42,21
Indiana,Downwind,Covered,North,1.5,39,21
Indiana,Downwind,Covered,North,1.5,42,21
Indiana,Downwind,Covered,North,1.5,49,21
Indiana,Downwind,Covered,North,1.5,48,21
Indiana,Downwind,Covered,North,1.5,52,21
Indiana,Downwind,Covered,North,1.5,47,21
Indiana,Downwind,Covered,North,3,53,21
Indiana,Downwind,Covered,North,3,49,21
Indiana,Downwind,Covered,North,3,44,21
Indiana,Downwind,Covered,North,3,48,21
Indiana,Downwind,Covered,North,3,43,21
Indiana,Downwind,Covered,North,3,54,21
Indiana,Downwind,Covered,North,3,49,21
Indiana,Downwind,Covered,North,3,46,21
Indiana,Downwind,Covered,North,3,46,21
Indiana,Downwind,Covered,North,3,50,21
Indiana,Downwind,Covered,North,4.6,44,21
Indiana,Downwind,Covered,North,4.6,42,21
Indiana,Downwind,Covered,North,4.6,53,21
Indiana,Downwind,Covered,North,4.6,52,21
Indiana,Downwind,Covered,North,4.6,46,21
Indiana,Downwind,Covered,North,4.6,49,21
Indiana,Downwind,Covered,North,4.6,48,21
Indiana,Downwind,Covered,North,4.6,59,21
Indiana,Downwind,Covered,North,4.6,58,21
Indiana,Downwind,Covered,North,4.6,49,21
Indiana,Downwind,Covered,North,6.1,53,21
Indiana,Downwind,Covered,North,6.1,46,21
Indiana,Downwind,Covered,North,6.1,50,21
Indiana,Downwind,Covered,North,6.1,53,21
Indiana,Downwind,Covered,North,6.1,51,21
Indiana,Downwind,Covered,North,6.1,52,21
Indiana,Downwind,Covered,North,6.1,48,21
Indiana,Downwind,Covered,North,6.1,45,21
Indiana,Downwind,Covered,North,6.1,47,21
Indiana,Downwind,Covered,North,6.1,50,21
Indiana,Downwind,Covered,North,7.6,45,21
Indiana,Downwind,Covered,North,7.6,43,21
Indiana,Downwind,Covered,North,7.6,51,21
Indiana,Downwind,Covered,North,7.6,51,21
Indiana,Downwind,Covered,North,7.6,52,21
Indiana,Downwind,Covered,North,7.6,48,21
Indiana,Downwind,Covered,North,7.6,55,21
Indiana,Downwind,Covered,North,7.6,48,21
Indiana,Downwind,Covered,North,7.6,47,21
Indiana,Downwind,Covered,North,7.6,45,21
Indiana,Downwind,Covered,North,9.1,55,21
Indiana,Downwind,Covered,North,9.1,54,21
Indiana,Downwind,Covered,North,9.1,52,21
Indiana,Downwind,Covered,North,9.1,52,21
Indiana,Downwind,Covered,North,9.1,51,21
Indiana,Downwind,Covered,North,9.1,48,21
Indiana,Downwind,Covered,North,9.1,51,21
Indiana,Downwind,Covered,North,9.1,52,21
Indiana,Downwind,Covered,North,9.1,45,21
Indiana,Downwind,Covered,North,9.1,50,21
Indiana,Downwind,Covered,North,10.7,49,21
Indiana,Downwind,Covered,North,10.7,43,21
Indiana,Downwind,Covered,North,10.7,42,21
Indiana,Downwind,Covered,North,10.7,43,21
Indiana,Downwind,Covered,North,10.7,44,21
Indiana,Downwind,Covered,North,10.7,53,21
Indiana,Downwind,Covered,North,10.7,41,21
Indiana,Downwind,Covered,North,10.7,36,21
Indiana,Downwind,Covered,North,10.7,42,21
Indiana,Downwind,Covered,North,10.7,38,21
Indiana,Downwind,Covered,North,12.2,45,21
Indiana,Downwind,Covered,North,12.2,46,21
Indiana,Downwind,Covered,North,12.2,53,21
Indiana,Downwind,Covered,North,12.2,48,21
Indiana,Downwind,Covered,North,12.2,51,21
Indiana,Downwind,Covered,North,12.2,49,21
Indiana,Downwind,Covered,North,12.2,47,21
Indiana,Downwind,Covered,North,12.2,45,21
Indiana,Downwind,Covered,North,12.2,50,21
Indiana,Downwind,Covered,North,12.2,50,21
Indiana,Downwind,Covered,North,13.7,47,21
Indiana,Downwind,Covered,North,13.7,50,21
Indiana,Downwind,Covered,North,13.7,48,21
Indiana,Downwind,Covered,North,13.7,50,21
Indiana,Downwind,Covered,North,13.7,46,21
Indiana,Downwind,Covered,North,13.7,51,21
Indiana,Downwind,Covered,North,13.7,46,21
Indiana,Downwind,Covered,North,13.7,55,21
Indiana,Downwind,Covered,North,13.7,51,21
Indiana,Downwind,Covered,North,13.7,48,21
Indiana,Downwind,Covered,Middle,1.5,53,21
Indiana,Downwind,Covered,Middle,1.5,59,21
Indiana,Downwind,Covered,Middle,1.5,54,21
Indiana,Downwind,Covered,Middle,1.5,60,21
Indiana,Downwind,Covered,Middle,1.5,54,21
Indiana,Downwind,Covered,Middle,1.5,60,21
Indiana,Downwind,Covered,Middle,1.5,59,21
Indiana,Downwind,Covered,Middle,1.5,55,21
Indiana,Downwind,Covered,Middle,1.5,58,21
Indiana,Downwind,Covered,Middle,1.5,55,21
Indiana,Downwind,Covered,Middle,3,58,21
Indiana,Downwind,Covered,Middle,3,58,21
Indiana,Downwind,Covered,Middle,3,56,21
Indiana,Downwind,Covered,Middle,3,58,21
Indiana,Downwind,Covered,Middle,3,55,21
Indiana,Downwind,Covered,Middle,3,54,21
Indiana,Downwind,Covered,Middle,3,50,21
Indiana,Downwind,Covered,Middle,3,58,21
Indiana,Downwind,Covered,Middle,3,57,21
Indiana,Downwind,Covered,Middle,3,51,21
Indiana,Downwind,Covered,Middle,4.6,57,21
Indiana,Downwind,Covered,Middle,4.6,53,21
Indiana,Downwind,Covered,Middle,4.6,50,21
Indiana,Downwind,Covered,Middle,4.6,54,21
Indiana,Downwind,Covered,Middle,4.6,55,21
Indiana,Downwind,Covered,Middle,4.6,55,21
Indiana,Downwind,Covered,Middle,4.6,57,21
Indiana,Downwind,Covered,Middle,4.6,52,21
Indiana,Downwind,Covered,Middle,4.6,55,21
Indiana,Downwind,Covered,Middle,4.6,52,21
Indiana,Downwind,Covered,Middle,6.1,52,21
Indiana,Downwind,Covered,Middle,6.1,58,21
Indiana,Downwind,Covered,Middle,6.1,56,21
Indiana,Downwind,Covered,Middle,6.1,55,21
Indiana,Downwind,Covered,Middle,6.1,55,21
Indiana,Downwind,Covered,Middle,6.1,60,21
Indiana,Downwind,Covered,Middle,6.1,60,21
Indiana,Downwind,Covered,Middle,6.1,56,21
Indiana,Downwind,Covered,Middle,6.1,56,21
Indiana,Downwind,Covered,Middle,6.1,61,21
Indiana,Downwind,Covered,Middle,7.6,50,21
Indiana,Downwind,Covered,Middle,7.6,52,21
Indiana,Downwind,Covered,Middle,7.6,54,21
Indiana,Downwind,Covered,Middle,7.6,54,21
Indiana,Downwind,Covered,Middle,7.6,56,21
Indiana,Downwind,Covered,Middle,7.6,59,21
Indiana,Downwind,Covered,Middle,7.6,53,21
Indiana,Downwind,Covered,Middle,7.6,57,21
Indiana,Downwind,Covered,Middle,7.6,51,21
Indiana,Downwind,Covered,Middle,7.6,49,21
Indiana,Downwind,Covered,Middle,9.1,51,21
Indiana,Downwind,Covered,Middle,9.1,48,21
Indiana,Downwind,Covered,Middle,9.1,48,21
Indiana,Downwind,Covered,Middle,9.1,44,21
Indiana,Downwind,Covered,Middle,9.1,50,21
Indiana,Downwind,Covered,Middle,9.1,50,21
Indiana,Downwind,Covered,Middle,9.1,57,21
Indiana,Downwind,Covered,Middle,9.1,53,21
Indiana,Downwind,Covered,Middle,9.1,50,21
Indiana,Downwind,Covered,Middle,9.1,46,21
Indiana,Downwind,Covered,Middle,10.7,49,21
Indiana,Downwind,Covered,Middle,10.7,47,21
Indiana,Downwind,Covered,Middle,10.7,49,21
Indiana,Downwind,Covered,Middle,10.7,52,21
Indiana,Downwind,Covered,Middle,10.7,51,21
Indiana,Downwind,Covered,Middle,10.7,53,21
Indiana,Downwind,Covered,Middle,10.7,49,21
Indiana,Downwind,Covered,Middle,10.7,52,21
Indiana,Downwind,Covered,Middle,10.7,50,21
Indiana,Downwind,Covered,Middle,10.7,51,21
Indiana,Downwind,Covered,Middle,12.2,45,21
Indiana,Downwind,Covered,Middle,12.2,46,21
Indiana,Downwind,Covered,Middle,12.2,44,21
Indiana,Downwind,Covered,Middle,12.2,44,21
Indiana,Downwind,Covered,Middle,12.2,45,21
Indiana,Downwind,Covered,Middle,12.2,43,21
Indiana,Downwind,Covered,Middle,12.2,42,21
Indiana,Downwind,Covered,Middle,12.2,50,21
Indiana,Downwind,Covered,Middle,12.2,52,21
Indiana,Downwind,Covered,Middle,12.2,52,21
Indiana,Downwind,Covered,Middle,13.7,56,21
Indiana,Downwind,Covered,Middle,13.7,56,21
Indiana,Downwind,Covered,Middle,13.7,54,21
Indiana,Downwind,Covered,Middle,13.7,52,21
Indiana,Downwind,Covered,Middle,13.7,49,21
Indiana,Downwind,Covered,Middle,13.7,54,21
Indiana,Downwind,Covered,Middle,13.7,57,21
Indiana,Downwind,Covered,Middle,13.7,55,21
Indiana,Downwind,Covered,Middle,13.7,54,21
Indiana,Downwind,Covered,Middle,13.7,59,21
Indiana,Downwind,Covered,South,1.5,47,21
Indiana,Downwind,Covered,South,1.5,46,21
Indiana,Downwind,Covered,South,1.5,48,21
Indiana,Downwind,Covered,South,1.5,48,21
Indiana,Downwind,Covered,South,1.5,50,21
Indiana,Downwind,Covered,South,1.5,46,21
Indiana,Downwind,Covered,South,1.5,50,21
Indiana,Downwind,Covered,South,1.5,50,21
Indiana,Downwind,Covered,South,1.5,48,21
Indiana,Downwind,Covered,South,1.5,46,21
Indiana,Downwind,Covered,South,3,47,21
Indiana,Downwind,Covered,South,3,45,21
Indiana,Downwind,Covered,South,3,47,21
Indiana,Downwind,Covered,South,3,47,21
Indiana,Downwind,Covered,South,3,44,21
Indiana,Downwind,Covered,South,3,47,21
Indiana,Downwind,Covered,South,3,51,21
Indiana,Downwind,Covered,South,3,51,21
Indiana,Downwind,Covered,South,3,50,21
Indiana,Downwind,Covered,South,3,51,21
Indiana,Downwind,Covered,South,4.6,48,21
Indiana,Downwind,Covered,South,4.6,49,21
Indiana,Downwind,Covered,South,4.6,49,21
Indiana,Downwind,Covered,South,4.6,52,21
Indiana,Downwind,Covered,South,4.6,47,21
Indiana,Downwind,Covered,South,4.6,51,21
Indiana,Downwind,Covered,South,4.6,53,21
Indiana,Downwind,Covered,South,4.6,51,21
Indiana,Downwind,Covered,South,4.6,54,21
Indiana,Downwind,Covered,South,4.6,53,21
Indiana,Downwind,Covered,South,6.1,49,21
Indiana,Downwind,Covered,South,6.1,55,21
Indiana,Downwind,Covered,South,6.1,50,21
Indiana,Downwind,Covered,South,6.1,44,21
Indiana,Downwind,Covered,South,6.1,53,21
Indiana,Downwind,Covered,South,6.1,50,21
Indiana,Downwind,Covered,South,6.1,54,21
Indiana,Downwind,Covered,South,6.1,50,21
Indiana,Downwind,Covered,South,6.1,56,21
Indiana,Downwind,Covered,South,6.1,48,21
Indiana,Downwind,Covered,South,7.6,51,21
Indiana,Downwind,Covered,South,7.6,44,21
Indiana,Downwind,Covered,South,7.6,49,21
Indiana,Downwind,Covered,South,7.6,45,21
Indiana,Downwind,Covered,South,7.6,49,21
Indiana,Downwind,Covered,South,7.6,45,21
Indiana,Downwind,Covered,South,7.6,44,21
Indiana,Downwind,Covered,South,7.6,44,21
Indiana,Downwind,Covered,South,7.6,45,21
Indiana,Downwind,Covered,South,7.6,50,21
Indiana,Downwind,Covered,South,9.1,50,21
Indiana,Downwind,Covered,South,9.1,48,21
Indiana,Downwind,Covered,South,9.1,50,21
Indiana,Downwind,Covered,South,9.1,53,21
Indiana,Downwind,Covered,South,9.1,52,21
Indiana,Downwind,Covered,South,9.1,52,21
Indiana,Downwind,Covered,South,9.1,55,21
Indiana,Downwind,Covered,South,9.1,48,21
Indiana,Downwind,Covered,South,9.1,50,21
Indiana,Downwind,Covered,South,9.1,49,21
Indiana,Downwind,Covered,South,10.7,50,21
Indiana,Downwind,Covered,South,10.7,50,21
Indiana,Downwind,Covered,South,10.7,51,21
Indiana,Downwind,Covered,South,10.7,48,21
Indiana,Downwind,Covered,South,10.7,50,21
Indiana,Downwind,Covered,South,10.7,45,21
Indiana,Downwind,Covered,South,10.7,48,21
Indiana,Downwind,Covered,South,10.7,56,21
Indiana,Downwind,Covered,South,10.7,50,21
Indiana,Downwind,Covered,South,10.7,53,21
Indiana,Downwind,Covered,South,12.2,50,21
Indiana,Downwind,Covered,South,12.2,53,21
Indiana,Downwind,Covered,South,12.2,46,21
Indiana,Downwind,Covered,South,12.2,51,21
Indiana,Downwind,Covered,South,12.2,53,21
Indiana,Downwind,Covered,South,12.2,54,21
Indiana,Downwind,Covered,South,12.2,54,21
Indiana,Downwind,Covered,South,12.2,55,21
Indiana,Downwind,Covered,South,12.2,50,21
Indiana,Downwind,Covered,South,12.2,50,21
Indiana,Downwind,Covered,South,13.7,50,21
Indiana,Downwind,Covered,South,13.7,55,21
Indiana,Downwind,Covered,South,13.7,53,21
Indiana,Downwind,Covered,South,13.7,57,21
Indiana,Downwind,Covered,South,13.7,58,21
Indiana,Downwind,Covered,South,13.7,54,21
Indiana,Downwind,Covered,South,13.7,51,21
Indiana,Downwind,Covered,South,13.7,56,21
Indiana,Downwind,Covered,South,13.7,50,21
Indiana,Downwind,Covered,South,13.7,52,21
Indiana,Downwind,Non-covered,North,1.5,54,21
Indiana,Downwind,Non-covered,North,1.5,51,21
Indiana,Downwind,Non-covered,North,1.5,47,21
Indiana,Downwind,Non-covered,North,1.5,52,21
Indiana,Downwind,Non-covered,North,1.5,57,21
Indiana,Downwind,Non-covered,North,1.5,55,21
Indiana,Downwind,Non-covered,North,1.5,51,21
Indiana,Downwind,Non-covered,North,1.5,52,21
Indiana,Downwind,Non-covered,North,1.5,57,21
Indiana,Downwind,Non-covered,North,1.5,51,21
Indiana,Downwind,Non-covered,North,3,48,21
Indiana,Downwind,Non-covered,North,3,43,21
Indiana,Downwind,Non-covered,North,3,36,21
Indiana,Downwind,Non-covered,North,3,56,21
Indiana,Downwind,Non-covered,North,3,52,21
Indiana,Downwind,Non-covered,North,3,52,21
Indiana,Downwind,Non-covered,North,3,50,21
Indiana,Downwind,Non-covered,North,3,54,21
Indiana,Downwind,Non-covered,North,3,46,21
Indiana,Downwind,Non-covered,North,3,51,21
Indiana,Downwind,Non-covered,North,4.6,53,21
Indiana,Downwind,Non-covered,North,4.6,52,21
Indiana,Downwind,Non-covered,North,4.6,54,21
Indiana,Downwind,Non-covered,North,4.6,51,21
Indiana,Downwind,Non-covered,North,4.6,56,21
Indiana,Downwind,Non-covered,North,4.6,50,21
Indiana,Downwind,Non-covered,North,4.6,53,21
Indiana,Downwind,Non-covered,North,4.6,52,21
Indiana,Downwind,Non-covered,North,4.6,54,21
Indiana,Downwind,Non-covered,North,4.6,49,21
Indiana,Downwind,Non-covered,North,6.1,56,21
Indiana,Downwind,Non-covered,North,6.1,57,21
Indiana,Downwind,Non-covered,North,6.1,60,21
Indiana,Downwind,Non-covered,North,6.1,57,21
Indiana,Downwind,Non-covered,North,6.1,57,21
Indiana,Downwind,Non-covered,North,6.1,54,21
Indiana,Downwind,Non-covered,North,6.1,57,21
Indiana,Downwind,Non-covered,North,6.1,55,21
Indiana,Downwind,Non-covered,North,6.1,52,21
Indiana,Downwind,Non-covered,North,6.1,55,21
Indiana,Downwind,Non-covered,North,7.6,56,21
Indiana,Downwind,Non-covered,North,7.6,59,21
Indiana,Downwind,Non-covered,North,7.6,57,21
Indiana,Downwind,Non-covered,North,7.6,55,21
Indiana,Downwind,Non-covered,North,7.6,50,21
Indiana,Downwind,Non-covered,North,7.6,53,21
Indiana,Downwind,Non-covered,North,7.6,54,21
Indiana,Downwind,Non-covered,North,7.6,54,21
Indiana,Downwind,Non-covered,North,7.6,55,21
Indiana,Downwind,Non-covered,North,7.6,49,21
Indiana,Downwind,Non-covered,North,9.1,57,21
Indiana,Downwind,Non-covered,North,9.1,50,21
Indiana,Downwind,Non-covered,North,9.1,54,21
Indiana,Downwind,Non-covered,North,9.1,59,21
Indiana,Downwind,Non-covered,North,9.1,59,21
Indiana,Downwind,Non-covered,North,9.1,56,21
Indiana,Downwind,Non-covered,North,9.1,56,21
Indiana,Downwind,Non-covered,North,9.1,57,21
Indiana,Downwind,Non-covered,North,9.1,56,21
Indiana,Downwind,Non-covered,North,9.1,55,21
Indiana,Downwind,Non-covered,North,10.7,58,21
Indiana,Downwind,Non-covered,North,10.7,50,21
Indiana,Downwind,Non-covered,North,10.7,50,21
Indiana,Downwind,Non-covered,North,10.7,58,21
Indiana,Downwind,Non-covered,North,10.7,51,21
Indiana,Downwind,Non-covered,North,10.7,56,21
Indiana,Downwind,Non-covered,North,10.7,52,21
Indiana,Downwind,Non-covered,North,10.7,52,21
Indiana,Downwind,Non-covered,North,10.7,49,21
Indiana,Downwind,Non-covered,North,10.7,56,21
Indiana,Downwind,Non-covered,North,12.2,49,21
Indiana,Downwind,Non-covered,North,12.2,56,21
Indiana,Downwind,Non-covered,North,12.2,54,21
Indiana,Downwind,Non-covered,North,12.2,52,21
Indiana,Downwind,Non-covered,North,12.2,50,21
Indiana,Downwind,Non-covered,North,12.2,55,21
Indiana,Downwind,Non-covered,North,12.2,57,21
Indiana,Downwind,Non-covered,North,12.2,54,21
Indiana,Downwind,Non-covered,North,12.2,49,21
Indiana,Downwind,Non-covered,North,12.2,51,21
Indiana,Downwind,Non-covered,North,13.7,51,21
Indiana,Downwind,Non-covered,North,13.7,46,21
Indiana,Downwind,Non-covered,North,13.7,58,21
Indiana,Downwind,Non-covered,North,13.7,52,21
Indiana,Downwind,Non-covered,North,13.7,58,21
Indiana,Downwind,Non-covered,North,13.7,52,21
Indiana,Downwind,Non-covered,North,13.7,53,21
Indiana,Downwind,Non-covered,North,13.7,52,21
Indiana,Downwind,Non-covered,North,13.7,50,21
Indiana,Downwind,Non-covered,North,13.7,45,21
Indiana,Downwind,Non-covered,Middle,1.5,60,21
Indiana,Downwind,Non-covered,Middle,1.5,57,21
Indiana,Downwind,Non-covered,Middle,1.5,0,21
Indiana,Downwind,Non-covered,Middle,1.5,0,21
Indiana,Downwind,Non-covered,Middle,1.5,0,21
Indiana,Downwind,Non-covered,Middle,1.5,0,21
Indiana,Downwind,Non-covered,Middle,1.5,0,21
Indiana,Downwind,Non-covered,Middle,1.5,0,21
Indiana,Downwind,Non-covered,Middle,1.5,0,21
Indiana,Downwind,Non-covered,Middle,1.5,0,21
Indiana,Downwind,Non-covered,Middle,3,55,21
Indiana,Downwind,Non-covered,Middle,3,51,21
Indiana,Downwind,Non-covered,Middle,3,53,21
Indiana,Downwind,Non-covered,Middle,3,52,21
Indiana,Downwind,Non-covered,Middle,3,47,21
Indiana,Downwind,Non-covered,Middle,3,44,21
Indiana,Downwind,Non-covered,Middle,3,57,21
Indiana,Downwind,Non-covered,Middle,3,53,21
Indiana,Downwind,Non-covered,Middle,3,42,21
